name,born,died,page
"GARRISSON, PETER WOLSELEY  ",18 MARCH 1923,20 APRIL 2013),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1227
"GARTSIDE, CHARLES PERCIVAL  ",28 OCTOBER 1887,11 AUGUST 1958),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1234
"GAUNSON, DAVID  ",19 JANUARY 1846,02 JANUARY 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/516
"GAVIN, PETER MURRAY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1237
"GAWITH, CHARLES SHERWIN  ",03 JUNE 1910,16 SEPTEMBER 1982),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1238
"GIBB, JAMES  ",30 JUNE 1843,22 FEBRUARY 1919),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/517
"GIBBS, GEORGE SAMPSON  ",25 APRIL 1908,25 MAY 1968),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1677
"GIBSON, DAVID HAVELOCK  ",07 FEBRUARY 1873,27 APRIL 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1228
"GIDLEY, MICHAEL XAVIER CHARLES  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/91
"GILLESPIE, ROBERT  ",19 JANUARY 1829,05 NOVEMBER 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/518
"GILLETT, ROBERT MAX  ",23 JULY 1927,24 OCTOBER 2011),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/290
GILLETT ,"DOUGLAS), MARY JANE  ",NA,https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/250
"GILLIES, DUNCAN  ",JANUARY 1834,12 SEPTEMBER 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/519
"GILLOTT, SAMUEL  ",29 OCTOBER 1838,29 JUNE 1913),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/520
"GINIFER, JOHN JOSEPH  ",31 AUGUST 1927,09 JULY 1982),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1239
"GIRDLESTONE, THARP MOUNTAIN  ",14 JUNE 1823,06 JULY 1899),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/521
"GLADMAN, MALCOLM JOSEPH  ",1915,26 AUGUST 1987),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1231
"GLASGOW, JOHN  ",1847,17 NOVEMBER 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1232
"GLASS, THOMAS  ",1864,17 MAY 1911),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1001
"GLEESON, STANLEY EDMOND  ",17 MAY 1910,24 MAY 1999),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1240
"GLEESON, ELIZABETH SUSAN  ",07 MARCH 1943,16 DECEMBER 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/130
"GLOWREY, HAROLD  ",16 NOVEMBER 1893,28 SEPTEMBER 1974),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1241
"GOBLE, DOROTHY ADA  ",11 MARCH 1910,22 OCTOBER 1990),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1243
"GODFREY, FREDERICK RACE  ",11 MAY 1828,11 SEPTEMBER 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/522
"GODFREY, GEORGE  ",03 SEPTEMBER 1834,21 AUGUST 1920),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/523
"GOLDSMITH, ADOLPHUS  ",06 MAY 1798,15 MARCH 1876),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/524
"GOODMAN, JOHN  ",05 FEBRUARY 1826,16 APRIL 1874),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/527
"GORDON, WILLIAM JAMES SUTHERLAND  ",13 SEPTEMBER 1832,23 JANUARY 1916),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/525
"GORDON, JOHN  ",27 SEPTEMBER 1858,03 DECEMBER 1937),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1244
"GORE, HENRY  ",20 NOVEMBER 1840,07 FEBRUARY 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/526
"GOUDIE [GOUDY], GEORGE LOUIS  ",30 APRIL 1866,30 APRIL 1949),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1245
"GOULD, MONICA MARY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/252
"GRAHAM, JAMES  ",05 FEBRUARY 1819,31 JULY 1898),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/529
"GRAHAM, GEORGE  ",16 AUGUST 1838,22 JULY 1922),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/528
"GRALEY, JUDITH ANN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/47
"GRANT, JAMES MACPHERSON  ",01 JUNE 1821,01 APRIL 1885),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/531
"GRANTER, FREDERICK JAMES   ",06 MARCH 1921,14 MAY 2012),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1246
"GRATTAN, WILLIAM  ",05 NOVEMBER 1854,28 SEPTEMBER 1917),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/530
"GRAVES, JAMES HOWLIN  ",14 DECEMBER 1827,23 NOVEMBER 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/532
"GRAY, MOSES WILSON  ",1813,04 APRIL 1875),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/534
"GRAY, FREDERICK CHARLES  ",18 APRIL 1853,13 DECEMBER 1933),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/533
"GRAY, WILLIAM BLAIR  ",29 MARCH 1833,26 JULY 1904),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1253
"GRAY, JOHN  ",20 JULY 1854,07 JANUARY 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1249
"GRAY, ACHILLES  ",07 JANUARY 1864,02 JULY 1954),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1214
"GRAY,  BURNETT  ",21 AUGUST 1884,27 MAY 1968),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1247
"GRAY, JOHN AUSTIN  ",16 APRIL 1892,06 MAY 1939),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1250
"GRAY, ROBERT JOHN  ",08 MARCH 1898,02 AUGUST 1978),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1252
"GRAY, DAVID JAMES FREDERICK  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1248
"GREENWOOD, EDMUND WILSON  ",21 SEPTEMBER 1881,07 SEPTEMBER 1948),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1254
"GREEVES, AUGUSTUS FREDERICK ADOLPHUS  ",07 SEPTEMBER 1806,23 MAY 1874),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/535
"GREY, JOSEPH HENRY  ",UNKNOWN,12 JUNE 1935),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/536
"GRIFFITH, CHARLES JAMES  ",AUGUST 1808,31 JULY 1863),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/537
"GRIGG, THOMAS HENRY  ",14 JUNE 1889,14 APRIL 1969),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1255
"GRIMES, EDWARD  ",UNKNOWN,02 JUNE 1859),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/538
"GRIMWADE, FREDERICK SHEPPARD  ",10 NOVEMBER 1840,04 AUGUST 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1080
"GRIMWADE, PHILIP SHEPPARD  ",09 APRIL 1912,07 SEPTEMBER 1961),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1251
"GRIMWADE, FREDERICK SHEPPARD  ",12 SEPTEMBER 1933,23 FEBRUARY 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1678
"GROOM, ARTHUR CHAMPION  ",26 NOVEMBER 1852,22 MARCH 1922),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1676
"GROSE, WALTER BOLITHO  ",18 MAY 1862,07 APRIL 1940),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/539
"GROSS, KENNETH SAMUEL  ",04 NOVEMBER 1924,02 OCTOBER 1989),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1002
"GROVES, FRANK  ",25 MARCH 1873,03 JUNE 1959),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1224
"GUDE, PHILLIP ARCHIBALD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1256
"GUEST, JAMES VINCENT CHESTER  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1257
"GURR, WILLIAM  ",11 AUGUST 1848,25 JUNE 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/540
"GUTHRIDGE, NEHEMIAH  ",1808,27 JUNE 1878),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/541
"GUTHRIE, RUTHERFORD CAMPBELL  ",28 NOVEMBER 1899,20 FEBRUARY 1990),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1258
"GUY, ATHOL GEORGE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1259
"GUYE, EDWARD FRITZ  ",12 NOVEMBER 1887,04 JULY 1960),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1261
"HADDEN, DIANNE GLADYS  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/251
"HADLEY, THOMAS HENRY  ",25 DECEMBER 1823,29 AUGUST 1871),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/542
"HAERMEYER, ANDRE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/253
"HAGELTHORN [HAGELTORN], FREDERICK WILLIAM  ",23 JANUARY 1864,21 JULY 1943),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1262
"HAINES, WILLIAM CLARK  ",24 AUGUST 1810,03 FEBRUARY 1866),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/543
"HALFEY, JOHN  ",16 SEPTEMBER 1825,04 JANUARY 1889),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/544
"HALL, GEORGE WILSON  ",1836,21 SEPTEMBER 1916),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/545
"HALL, WILLIAM  ",23 OCTOBER 1859,25 APRIL 1903),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1015
"HALL, JOHN JOSEPH  ",18 FEBRUARY 1884,30 JUNE 1949),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1260
"HALL, PETER RONALD  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/256
"HALLAM, ROGER MURRAY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/257
"HAM, CORNELIUS JOB  ",13 JANUARY 1837,11 DECEMBER 1909),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/546
"HAM, DAVID  ",04 NOVEMBER 1830,03 JANUARY 1908),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/547
"HAMER, RUPERT JAMES   ",29 JULY 1916,23 MARCH 2004),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1263
"HAMILTON, THOMAS FERRIER  ",31 MARCH 1821,07 AUGUST 1905),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/548
"HAMILTON, WALTER ALFRED  ",10 MARCH 1863,01 SEPTEMBER 1955),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/549
"HAMILTON, CHARLES  ",24 JANUARY 1869,17 AUGUST 1934),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1235
"HAMILTON, ROBERT BELL  ",20 OCTOBER 1892,15 MAY 1948),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1236
"HAMILTON,  MURRAY  ",17 MARCH 1918,17 MAY 2009),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1264
"HAMILTON, KEITH GRAEME  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/259
"HAMMILL, WILLIAM  ",20 MAY 1822,01 SEPTEMBER 1871),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/550
"HAMPSON, ALFRED JOHN  ",15 SEPTEMBER 1864,19 MAY 1924),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1023
"HANCOCK, THEODORE  ",1824,21 JUNE 1890),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/552
"HANCOCK, JOHN  ",1846,22 NOVEMBER 1899),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/551
"HANN, EDWARD JAMES  ",08 MAY 1946,09 SEPTEMBER 1990),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1265
"HANNA, PATRICK  ",24 JUNE 1819,12 SEPTEMBER 1890),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/553
"HANNAH, MARTIN  ",28 FEBRUARY 1865,27 MARCH 1953),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1266
"HANNAN, JOSEPH FRANCIS  ",1873,14 MARCH 1943),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1242
"HARBISON, JOHN  ",1825,28 AUGUST 1915),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/554
"HARCOURT, JAMES THOMAS  ",26 JULY 1813,18 FEBRUARY 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/555
"HARDMAN, BENEDICT PAUL  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/258
"HARKER, GEORGE  ",11 APRIL 1816,25 APRIL 1879),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/556
"HARKNESS, ALISTAIR  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1695
"HARPER, ROBERT  ",01 FEBRUARY 1842,09 JANUARY 1919),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/557
"HARRIS, JOSEPH  ",17 DECEMBER 1833,10 MARCH 1925),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/559
"HARRIS, ALBERT  ",1842,05 JULY 1910),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/558
"HARRIS, JOHN RICHARDS  ",24 JANUARY 1868,16 SEPTEMBER 1946),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1268
"HARRISON, JAMES  ",1816,03 SEPTEMBER 1893),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/560
"HARROWFIELD, JOHN DYSON  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1269
"HARTIGAN, WILLIAM ANTHONY NEVILLE  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/162
"HARTLAND, COLLEEN  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1715
"HARVEY,  TREVOR  ",30 MAY 1885,09 DECEMBER 1952),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1270
"HARWOOD, THOMAS CHARLES  ",07 MAY 1825,29 APRIL 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/561
"HASSETT, DAVID LINDSAY  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1272
"HAUSER, VERNON THOMAS  ",05 AUGUST 1928,11 SEPTEMBER 2015),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1273
"HAWORTH, WILLIAM CRAWFORD  ",15 APRIL 1905,01 DECEMBER 1984),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1274
"HAYES, THOMAS  ",22 FEBRUARY 1890,19 FEBRUARY 1967),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1276
"HAYES, GEOFFREY PHILIP  ",19 JANUARY 1933,09 SEPTEMBER 1994),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1275
"HAYWARD, DONALD KEITH  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1277
"HEALES, RICHARD  ",22 FEBRUARY 1822,19 JUNE 1864),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/562
"HEARN, WILLIAM EDWARD  ",21 APRIL 1826,23 APRIL 1888),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/563
"HEATH, RICHARD  ",11 JULY 1809,10 FEBRUARY 1888),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/564
"HEDDITCH, HAROLD READ  ",13 MARCH 1893,23 MAY 1974),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1271
"HEDLEY, GEORGE DIXON  ",09 JULY 1817,14 MARCH 1879),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/566
"HEFFERNAN, VINCENT PATRICK  ",24 DECEMBER 1935,15 NOVEMBER 2002),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/142
"HEILY, WOLLASTON BRUCE  ",25 FEBRUARY 1884,01 OCTOBER 1963),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1035
"HELPER, JOCHEN   ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/163
"HENDERSON, JOHN  ",30 SEPTEMBER 1794,01 JULY 1862),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/565
"HENDERSON, ANN MARY  ",31 DECEMBER 1941,04 JUNE 2002),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/165
"HENNESSY, DAVID VALENTINE  ",15 JUNE 1858,16 JUNE 1923),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1278
"HENSHAW, DAVID ERNEST  ",20 DECEMBER 1931,02 APRIL 2008),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1279
"HENTY, JAMES  ",24 SEPTEMBER 1800,12 JANUARY 1882),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/569
"HENTY, EDWARD  ",28 MARCH 1810,14 AUGUST 1878),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/567
"HENTY, STEPHEN GEORGE  ",03 NOVEMBER 1811,18 DECEMBER 1872),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/570
"HENTY, HENRY  ",09 JANUARY 1833,20 OCTOBER 1912),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/568
"HENTY, THOMAS  ",24 AUGUST 1836,22 SEPTEMBER 1887),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/571
"HERBERT, STEVEN RALPH  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1654
"HERVEY, MATTHEW  ",27 JANUARY 1820,01 DECEMBER 1874),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/572
"HEWSON, HENRY ARTHUR  ",31 DECEMBER 1914,20 NOVEMBER 1999),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1280
"HICKFORD, FREDERICK THOMAS  ",05 NOVEMBER 1862,15 MAY 1929),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1281
"HICKS, ALFRED  ",23 FEBRUARY 1860,06 SEPTEMBER 1921),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1267
"HIDER, CHARLES ALLEN MOIR  ",,),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/1282
"HIGGINS, HENRY BOURNES  ",30 JUNE 1851,13 JANUARY 1929),https://www.parliament.vic.gov.au/about/people-in-parliament/re-member/details/24/573
